Simulation,Transitions
90,"{'M_and_U_to_M_and_M': 41, 'U_and_M_to_U_and_U': 23, 'Polymerase_M_to_A': 44, 'A_and_U_to_A_and_A': 17, 'A_and_M_to_A_and_A': 25, 'M_and_A_to_M_and_M': 50, 'U_and_A_to_U_and_U': 24}"
91,"{'U_and_M_to_U_and_U': 50, 'Polymerase_M_to_A': 31, 'M_and_U_to_M_and_M': 50, 'A_and_M_to_A_and_A': 16, 'U_and_A_to_U_and_U': 52, 'A_and_U_to_A_and_A': 33, 'M_and_A_to_M_and_M': 19}"
92,"{'U_and_M_to_U_and_U': 41, 'M_and_U_to_M_and_M': 51, 'Polymerase_M_to_A': 32, 'A_and_M_to_A_and_A': 10, 'U_and_A_to_U_and_U': 42, 'M_and_A_to_M_and_M': 11, 'A_and_U_to_A_and_A': 23}"
93,"{'U_and_M_to_U_and_U': 40, 'M_and_U_to_M_and_M': 44, 'Polymerase_M_to_A': 41, 'A_and_U_to_A_and_A': 42, 'A_and_M_to_A_and_A': 21, 'U_and_A_to_U_and_U': 48, 'M_and_A_to_M_and_M': 40}"
94,"{'M_and_U_to_M_and_M': 39, 'U_and_M_to_U_and_U': 21, 'Polymerase_M_to_A': 53, 'A_and_M_to_A_and_A': 24, 'U_and_A_to_U_and_U': 31, 'A_and_U_to_A_and_A': 22, 'M_and_A_to_M_and_M': 57}"
95,"{'Polymerase_M_to_A': 27, 'U_and_M_to_U_and_U': 24, 'M_and_U_to_M_and_M': 34, 'M_and_A_to_M_and_M': 14, 'U_and_A_to_U_and_U': 50, 'A_and_M_to_A_and_A': 18, 'A_and_U_to_A_and_A': 26}"
96,"{'U_and_M_to_U_and_U': 28, 'M_and_U_to_M_and_M': 9, 'Polymerase_M_to_A': 10, 'A_and_U_to_A_and_A': 35, 'A_and_M_to_A_and_A': 8, 'U_and_A_to_U_and_U': 47, 'M_and_A_to_M_and_M': 2}"
97,"{'Polymerase_M_to_A': 45, 'U_and_M_to_U_and_U': 38, 'M_and_U_to_M_and_M': 47, 'A_and_U_to_A_and_A': 27, 'A_and_M_to_A_and_A': 20, 'U_and_A_to_U_and_U': 30, 'M_and_A_to_M_and_M': 49}"
98,"{'M_and_U_to_M_and_M': 30, 'U_and_M_to_U_and_U': 34, 'Polymerase_M_to_A': 37, 'A_and_M_to_A_and_A': 15, 'M_and_A_to_M_and_M': 31, 'A_and_U_to_A_and_A': 28, 'U_and_A_to_U_and_U': 35}"
99,"{'M_and_U_to_M_and_M': 35, 'Polymerase_M_to_A': 54, 'U_and_M_to_U_and_U': 18, 'A_and_M_to_A_and_A': 26, 'U_and_A_to_U_and_U': 18, 'M_and_A_to_M_and_M': 49, 'A_and_U_to_A_and_A': 9}"
100,"{'M_and_U_to_M_and_M': 29, 'U_and_M_to_U_and_U': 20, 'Polymerase_M_to_A': 45, 'U_and_A_to_U_and_U': 29, 'M_and_A_to_M_and_M': 44, 'A_and_M_to_A_and_A': 19, 'A_and_U_to_A_and_A': 35}"
