Time Steps,Polymerase Count,Active Histone Count,Acetylated Histone Count,Methylated Histone Count,Unmodified Histone Count,Noisy Changes Count,Enzyme Changes Count
59501,0,45,2,43,15,0,1
59601,0,43,4,39,17,0,0
59701,0,43,7,36,17,0,0
59801,0,47,8,39,13,0,0
59901,0,46,7,39,14,0,0
60001,0,45,9,36,15,0,0
60101,0,42,11,31,18,1,0
60201,0,43,9,34,17,0,0
60301,0,40,10,30,20,0,0
60401,0,38,14,24,22,0,0
60501,0,33,12,21,27,0,0
60601,0,35,13,22,25,0,0
60701,0,40,16,24,20,0,0
60801,0,37,17,20,23,0,0
60901,0,37,20,17,23,0,0
61001,0,31,18,13,29,0,0
61101,0,36,20,16,24,0,0
61201,0,36,18,18,24,0,0
61301,0,41,21,20,19,0,0
61401,0,38,19,19,22,0,1
61501,0,37,19,18,23,0,0
61601,0,38,21,17,22,0,1
61701,0,37,18,19,23,0,0
61801,0,40,18,22,20,0,0
61901,0,40,19,21,20,0,0
62001,0,36,17,19,24,0,1
62101,0,37,15,22,23,0,0
62201,0,35,14,21,25,0,0
62301,0,43,15,28,17,0,0
62401,0,43,15,28,17,0,1
62501,0,38,10,28,22,0,0
62601,0,37,10,27,23,0,0
62701,0,33,8,25,27,0,0
62801,0,39,10,29,21,0,0
62901,0,38,7,31,22,0,0
63001,0,39,11,28,21,0,0
63101,0,39,6,33,21,0,0
63201,0,37,6,31,23,0,1
63301,0,41,6,35,19,0,0
63401,0,37,6,31,23,0,0
63501,0,39,10,29,21,0,0
63601,0,39,9,30,21,0,0
63701,0,34,11,23,26,0,0
63801,0,36,12,24,24,0,0
63901,0,41,12,29,19,1,0
64001,0,33,8,25,27,0,0
64101,0,33,12,21,27,0,0
64201,0,37,14,23,23,0,0
64301,0,40,17,23,20,0,0
64401,0,35,13,22,25,0,0
64501,0,32,7,25,28,0,0
64601,0,36,11,25,24,0,0
64701,0,39,13,26,21,0,0
64801,0,37,13,24,23,0,0
64901,0,44,18,26,16,0,0
65001,0,42,15,27,18,0,0
65101,0,48,15,33,12,0,1
65201,0,43,13,30,17,0,0
65301,0,45,9,36,15,0,0
65401,0,46,7,39,14,0,0
65501,0,48,4,44,12,0,0
65601,0,45,4,41,15,0,1
65701,0,46,5,41,14,0,0
65801,0,38,4,34,22,0,0
65901,0,43,4,39,17,0,1
66001,0,48,4,44,12,0,0
66101,0,49,3,46,11,0,0
66201,0,48,4,44,12,0,0
66301,0,51,2,49,9,0,0
66401,0,48,3,45,12,0,0
66501,0,52,2,50,8,0,0
66601,0,53,2,51,7,0,0
66701,0,49,2,47,11,0,0
66801,0,51,1,50,9,0,0
66901,0,48,1,47,12,1,0
67001,0,47,1,46,13,0,0
67101,0,46,1,45,14,0,0
67201,0,47,1,46,13,0,0
67301,0,47,2,45,13,0,0
67401,0,48,2,46,12,0,0
67501,0,48,3,45,12,0,0
67601,0,47,1,46,13,0,0
67701,0,48,1,47,12,0,0
67801,0,48,0,48,12,0,0
67901,0,48,0,48,12,0,0
68001,0,48,0,48,12,0,0
68101,0,48,1,47,12,0,0
68201,0,48,1,47,12,0,0
68301,0,47,0,47,13,0,0
68401,0,48,0,48,12,0,0
68501,0,47,0,47,13,0,0
68601,0,45,0,45,15,0,0
68701,0,50,0,50,10,0,0
68801,0,49,0,49,11,0,0
68901,0,49,0,49,11,0,0
69001,0,49,0,49,11,0,0
69101,0,49,0,49,11,0,1
69201,0,52,1,51,8,0,0
69301,0,48,0,48,12,0,0
69401,0,49,0,49,11,0,0
69501,0,47,0,47,13,0,0
69601,0,46,0,46,14,0,0
69701,0,48,0,48,12,0,0
69801,0,48,1,47,12,0,0
69901,0,48,0,48,12,0,0
70001,0,51,0,51,9,0,0
70101,0,51,0,51,9,0,0
70201,0,49,0,49,11,0,0
70301,0,51,0,51,9,0,0
70401,0,53,0,53,7,0,0
70501,0,50,0,50,10,0,0
70601,0,49,0,49,11,0,0
70701,0,50,0,50,10,0,0
70801,0,51,0,51,9,0,0
70901,0,51,0,51,9,0,0
71001,0,47,0,47,13,0,0
71101,0,47,0,47,13,0,0
71201,0,46,0,46,14,0,0
71301,0,49,1,48,11,0,0
71401,0,48,1,47,12,0,0
71501,0,47,2,45,13,0,0
71601,0,45,2,43,15,0,0
71701,0,44,2,42,16,0,0
71801,0,43,2,41,17,0,0
71901,0,44,3,41,16,0,0
72001,0,45,4,41,15,0,0
72101,0,40,4,36,20,0,0
72201,0,43,6,37,17,0,0
72301,0,41,6,35,19,1,0
72401,0,43,4,39,17,0,0
72501,0,42,3,39,18,0,0
72601,0,44,5,39,16,0,0
72701,0,46,8,38,14,0,1
72801,0,47,6,41,13,0,0
72901,0,47,9,38,13,0,1
73001,0,43,9,34,17,0,0
73101,0,48,9,39,12,0,0
73201,0,42,4,38,18,0,0
73301,0,42,2,40,18,0,0
73401,0,50,3,47,10,0,0
73501,0,46,2,44,14,0,0
73601,0,45,2,43,15,0,0
73701,0,47,3,44,13,0,0
73801,0,45,5,40,15,0,0
73901,0,43,5,38,17,0,0
74001,0,41,6,35,19,0,0
74101,0,46,6,40,14,0,0
74201,0,46,6,40,14,0,0
74301,0,40,6,34,20,0,0
74401,0,48,10,38,12,0,0
74501,0,47,14,33,13,0,0
74601,0,43,13,30,17,0,0
74701,0,39,17,22,21,0,0
74801,0,45,19,26,15,0,0
74901,0,40,16,24,20,1,0
75001,0,44,15,29,16,0,0
75101,0,44,14,30,16,0,0
75201,0,44,15,29,16,0,0
75301,0,43,16,27,17,0,0
75401,0,39,14,25,21,0,0
75501,0,35,12,23,25,0,0
75601,0,39,14,25,21,0,1
75701,0,36,11,25,24,0,0
75801,0,36,7,29,24,0,0
75901,0,33,3,30,27,0,0
76001,0,43,3,40,17,0,0
76101,0,44,2,42,16,0,0
76201,0,43,2,41,17,0,0
76301,0,44,5,39,16,0,0
76401,0,42,6,36,18,0,0
76501,0,42,8,34,18,0,1
76601,0,43,13,30,17,0,0
76701,0,46,18,28,14,0,0
76801,0,39,13,26,21,1,0
76901,0,32,12,20,28,0,0
77001,0,42,13,29,18,0,0
